id,name,dateOfBirth,positionName,positionShortName,portraitUrl,currentMarketValue,Historique_Clubs_Stats,taille,Nationalité 1,Nationalité 2
61842,Andros Townsend,1991-07-16,Right Winger,RW,https://img.a.transfermarkt.technology/portrait/big/61842-1726737135.jpg,550000.0,"Tottenham Hotspur (2014-2015): 10B, 18PD | Tottenham Hotspur (2015-2016): 4B, 3PD | Newcastle United (2015-2016): 1B, 3PD | Crystal Palace (2016-2017): 7B, 15PD | Crystal Palace (2017-2018): 2B, 10PD | Crystal Palace (2018-2019): 5B, 16PD | Crystal Palace (2019-2020): 10B, 6PD | Crystal Palace (2020-2021): 11B, 9PD | Everton FC (2021-2022): 6B, 7PD | Everton FC (2022-2023): 0B, 0PD | Luton Town (2023-2024): 16B, 14PD",1.81,Angleterre,
61891,Fábio,1990-07-09,Right-Back,RB,https://img.a.transfermarkt.technology/portrait/big/61891-1471013794.jpg,0.0,"Middlesbrough FC (2016-2017): 4B, 6PD | FC Nantes (2018-2019): 5B, 10PD | FC Nantes (2019-2020): 0B, 1PD | FC Nantes (2020-2021): 3B, 7PD | FC Nantes (2021-2022): 8B, 16PD | FC Nantes (2022-2023): 4B, 3PD",1.72,Brésil,Portugal
61892,Rafael,1990-07-09,Right-Back,RB,https://img.a.transfermarkt.technology/portrait/big/61892-1563889964.jpg,0.0,"Manchester United (2014-2015): 4B, 2PD | Hellas Verona (2014-2015): 0B, 0PD | Hellas Verona (2015-2016): 0B, 0PD | Cagliari Calcio (2016-2017): 2B, 1PD | Cagliari Calcio (2017-2018): 2B, 0PD | Cagliari Calcio (2018-2019): 0B, 0PD | Cagliari Calcio (2019-2020): 1B, 0PD | Spezia Calcio (2020-2021): 1B, 0PD | Olympique Lyon (2015-2016): 4B, 9PD | Olympique Lyon (2016-2017): 4B, 6PD | Olympique Lyon (2017-2018): 3B, 9PD | Olympique Lyon (2018-2019): 7B, 3PD | Olympique Lyon (2019-2020): 6B, 6PD",1.72,Brésil,Portugal
61901,Mohammed Abdellaoue,1985-10-23,Centre-Forward,CF,https://img.a.transfermarkt.technology/portrait/big/61901-1406749251.jpg,0.0,"VfB Stuttgart (2014-2015): 0B, 0PD",,Norvège,Maroc
61983,Álvaro Jiménez,1974-11-24,,,,,"Getafe CF (2017-2018): 8B, 2PD | Cádiz CF (2021-2022): 8B, 2PD",1.86,Guatemala,
61989,Michael Esser,1987-11-22,Goalkeeper,GK,https://img.a.transfermarkt.technology/portrait/big/61989-1657283062.jpg,0.0,"SV Darmstadt 98 (2016-2017): 0B, 1PD | Hannover 96 (2017-2018): 0B, 0PD | Hannover 96 (2018-2019): 0B, 0PD | TSG 1899 Hoffenheim (2019-2020): 0B, 0PD | VfL Bochum (2021-2022): 0B, 1PD | VfL Bochum (2022-2023): 0B, 0PD | VfL Bochum (2023-2024): 0B, 0PD",1.98,Allemagne,
62008,Stefan Johansen,1991-01-08,Central Midfield,CM,https://img.a.transfermarkt.technology/portrait/big/62008-1546605424.jpg,0.0,"Fulham FC (2018-2019): 8B, 3PD | Fulham FC (2020-2021): 0B, 0PD",1.82,Norvège,
62052,Shane Ferguson,1991-07-12,Left Midfield,LM,https://img.a.transfermarkt.technology/portrait/big/62052-1594966887.jpg,125000.0,"Newcastle United (2014-2015): 0B, 0PD",1.75,Irlande du Nord,
62121,Odion Ighalo,1989-06-16,Centre-Forward,CF,https://img.a.transfermarkt.technology/portrait/big/62121-1681407481.jpg,800000.0,"Watford FC (2015-2016): 4B, 9PD | Watford FC (2016-2017): 5B, 4PD | Manchester United (2019-2020): 14B, 1PD | Manchester United (2020-2021): 2B, 2PD",1.81,Nigeria,Italie
62240,Maynor Figueroa,1983-05-02,Left-Back,LB,https://img.a.transfermarkt.technology/portrait/big/62240-1618676444.jpg,0.0,"Hull City (2014-2015): 1B, 1PD",1.82,Honduras,
